2013 area unit name,WGS84 longitude of a sample point in the area unit,WGS84 latitude of sample point
Waiwhetu North,174.93099,-41.22322
Waiwhetu North,174.92609,-41.22548
Waiwhetu North,174.92616,-41.22485
Waiwhetu North,174.91985,-41.22332
Waiwhetu North,174.93098,-41.22461
Waiwhetu North,174.91255,-41.22169
Waiwhetu North,174.93038,-41.22595
Waiwhetu North,174.91575,-41.21893
Waiwhetu North,174.91418,-41.22171
Waiwhetu North,174.91632,-41.21849
Waiwhetu North,174.91972,-41.22407
Waiwhetu North,174.91674,-41.22283
Waiwhetu North,174.92887,-41.22349
Waiwhetu North,174.9284,-41.22613
Waiwhetu North,174.91483,-41.22273
Waiwhetu North,174.92209,-41.224
Waiwhetu North,174.93348,-41.22617
Waiwhetu North,174.92536,-41.22544
Waiwhetu North,174.91931,-41.22423
Waiwhetu North,174.91097,-41.22246
Waiwhetu North,174.92021,-41.22364
Waiwhetu North,174.9348,-41.22684
Waiwhetu North,174.92006,-41.22368
Waiwhetu North,174.91507,-41.22363
Waiwhetu North,174.92381,-41.22291
Waiwhetu North,174.92431,-41.22181
Waiwhetu North,174.93649,-41.22487
Waiwhetu North,174.92757,-41.22505
Waiwhetu North,174.93674,-41.22352
Waiwhetu North,174.92354,-41.22304
Waiwhetu North,174.93417,-41.22596
Waiwhetu North,174.92175,-41.2242
Waiwhetu North,174.92637,-41.22531
Waiwhetu North,174.93729,-41.22456
Waiwhetu North,174.92632,-41.22228
Waiwhetu North,174.93015,-41.2255
Waiwhetu North,174.91083,-41.22266
Waiwhetu North,174.92538,-41.22209
Waiwhetu North,174.91653,-41.22146
Waiwhetu North,174.93648,-41.22534
Waiwhetu North,174.93276,-41.22467
Waiwhetu North,174.92882,-41.22379
Waiwhetu North,174.92453,-41.2249
Waiwhetu North,174.91484,-41.22135
Waiwhetu North,174.91797,-41.22239
Waiwhetu North,174.9248,-41.22376
Waiwhetu North,174.91835,-41.22395
Waiwhetu North,174.93357,-41.2242
Waiwhetu North,174.92748,-41.22288
Waiwhetu North,174.92808,-41.22312
Waiwhetu North,174.91591,-41.22015
Waiwhetu North,174.92693,-41.22533
Waiwhetu North,174.91942,-41.22239
Waiwhetu North,174.93198,-41.22389
Waiwhetu North,174.91663,-41.21956
Waiwhetu North,174.92095,-41.22309
