2006 Census Area Unit,Rent Suburb
Abbotts Park,
Akarana,
Arch Hill,
Auckland Central East,Central East
Auckland Central West,Central West
Auckland Harbourside,Harbourside
Avondale South,Avondale
Avondale West,Avondale
Balmoral,Balmoral
Blockhouse Bay,Blockhouse Bay/New Windsor
Eden Terrace,Eden Terrace
Ellerslie North,Ellerslie
Ellerslie South,Ellerslie
Epsom Central,Epsom
Epsom North,Epsom
Epsom South,Epsom
Fairburn,
Ferndale,
Freemans Bay,Ponsonby/Freemans Bay
Glen Innes East,Glen Innes/Pt England/Wai O Taiki
Glen Innes North,Glen Innes/Pt England/Wai O Taiki
Glen Innes West,Glen Innes/Pt England/Wai O Taiki
Glenavon,
Glendowie,St Helliers/Glendowie
Grafton East,Newton/Grafton
Grafton West,Newton/Grafton
Grey Lynn East,Grey Lynn/Arch Hill
Grey Lynn West,Grey Lynn/Arch Hill
Hamlin,
Herne Bay,Herne Bay/St Marys
Hillsborough East,Hillsborough
Hillsborough West,Hillsborough
Kingsland,Kingsland
Kohimarama East,Kohimarama
Kohimarama West,Kohimarama
Lynfield North,Lynfield
Lynfield South,Lynfield
Maungawhau,
Meadowbank North,Meadowbank
Meadowbank South,Remuera South/Meadowbank South
Mission Bay,Mission Bay/Orakei
Mt Albert Central,Mt Albert/Owairaka
Mt Eden East,Mt Eden
Mt Eden North,Mt Eden
Mt Eden South,Mt Eden
Mt Hobson,
Mt St John,
Mt Wellington North,Mt Wellington North
Mt Wellington South,Penrose/Mt Wellington South
New Windsor,Blockhouse Bay/New Windsor
Newmarket,Newmarket
Newton,Newton/Grafton
One Tree Hill Central,Royal Oak/One Tree Hill
One Tree Hill East,Royal Oak/One Tree Hill
Onehunga North East,Onehunga/Oranga/Te Papapa
Onehunga North West,Onehunga/Oranga/Te Papapa
Onehunga South East,Onehunga/Oranga/Te Papapa
Onehunga South West,Onehunga/Oranga/Te Papapa
Orakei North,Mission Bay/Orakei
Orakei South,Mission Bay/Orakei
Oranga,Onehunga/Oranga/Te Papapa
Otahuhu East,Otahuhu
Otahuhu North,Otahuhu
Otahuhu West,Otahuhu
Owairaka East,Mt Albert/Owairaka
Owairaka West,Mt Albert/Owairaka
Parnell East,Parnell
Parnell West,Parnell
Penrose,Penrose/Mt Wellington South
Point Chevalier East,Pt Chevalier
Point Chevalier South,Pt Chevalier
Point Chevalier West,Pt Chevalier
Point England,Glen Innes/Pt England/Wai O Taiki
Ponsonby East,Ponsonby/Freemans Bay
Ponsonby West,Ponsonby/Freemans Bay
Remuera South,Remuera South/Meadowbank South
Remuera West,Remuera
Roberton,
Rosebank,
Royal Oak,Royal Oak/One Tree Hill
Sandringham East,St Lukes/Sandringham
Sandringham North,St Lukes/Sandringham
Sandringham West,St Lukes/Sandringham
Sherbourne,
Springleigh,
St Heliers,St Helliers/Glendowie
St Johns,St Johns
St Lukes,St Lukes/Sandringham
St Lukes North,St Lukes/Sandringham
St Marys,Herne Bay/St Marys
Surrey Crescent,Westmere/Surrey Crescent
Tamaki,
Te Papapa,Onehunga/Oranga/Te Papapa
Three Kings,Three Kings
Waiata,
Waiheke Island,Waiheke Island
Waikowhai East,
Waikowhai West,
Waitaramoa,
Walmsley,
Waterview,Waterview/Avondale Heights
Wesley,Mt Roskill/Wesley
Westmere,Westmere/Surrey Crescent
